Price,Close,High,Low,Open,Volume
Ticker,ENI.MI,ENI.MI,ENI.MI,ENI.MI,ENI.MI
Date,,,,,
2020-01-02,9.689637184143066,9.721456053015094,9.594179258172629,9.598329946959435,9175964
2020-01-03,9.757427215576172,9.808614874410686,9.67718736916421,9.684104745161875,14319031
2020-01-06,9.902688980102539,9.973244765178274,9.794780287557838,9.822449132337715,15677459
2020-01-07,9.9054536819458,9.926205806130625,9.845965974443258,9.902686995925356,12574227
2020-01-08,9.826598167419434,9.953874963913325,9.826598167419434,9.9303561529554,12108752
2020-01-09,9.780945777893066,9.854268246416725,9.74220886911136,9.822448713454317,11137381
2020-01-10,9.753276824951172,9.818298573698183,9.732524697725928,9.818298573698183,8297010
2020-01-13,9.711772918701172,9.769877289842904,9.657818577065031,9.753276512143294,7512751
2020-01-14,9.596946716308594,9.710389430234779,9.574811906588826,9.6771865559779,12823364
2020-01-15,9.544376373291016,9.614931491533977,9.49457206193186,9.614931491533977,11063165
2020-01-16,9.606630325317383,9.634299825679035,9.536075210362199,9.544375928535255,8419328
2020-01-17,9.625999450683594,9.656434978618396,9.590029890543727,9.63568351228454,7832353
2020-01-20,9.602479934692383,9.67026836093115,9.584495155940461,9.608013966491887,5434218
2020-01-21,9.486268997192383,9.559591443272401,9.421247267619261,9.555441414857485,13296282
2020-01-22,9.378363609313965,9.516708492837807,9.33962735857239,9.511174460013027,13887915
2020-01-23,9.309191703796387,9.39358158027224,9.234485889877524,9.338243891467357,14382747
2020-01-24,9.317490577697754,9.419865215743124,9.309189860053301,9.31333988903695,11426886
2020-01-27,9.127959251403809,9.278754201188054,9.075388256569385,9.234484584145584,20127256
2020-01-28,9.26768684387207,9.2967390275823,9.068470927463075,9.165312199507701,14408505
2020-01-29,9.191597938537598,9.295355928707806,9.174996501787833,9.289822556242694,13966157
2020-01-30,8.941193580627441,9.116891334554726,8.916292087360413,9.086455149952782,30479038
2020-01-31,8.755814552307129,9.003450819867139,8.736446426316661,8.992383413540773,24878394
2020-02-03,8.722610473632812,8.784865532710153,8.663122760514332,8.776564814188026,14763425
2020-02-04,8.845735549926758,8.92320802835263,8.754428323395068,8.777946471627024,18558091
2020-02-05,9.011751174926758,9.061555490896353,8.793167105196096,8.84712145099118,19666337
2020-02-06,8.97163200378418,9.114126262996487,8.953647221005438,9.090608106856482,15527378
2020-02-07,8.927360534667969,8.98961559446789,8.883090255261862,8.971630814074073,12925694
2020-02-10,8.840203285217285,8.917676438801106,8.83605325576253,8.902458344779212,14294704
2020-02-11,8.941193580627441,8.99929860416387,8.844352974195319,8.888623248425928,13082879
2020-02-12,9.061554908752441,9.075389000292612,8.966096972448558,8.985465096411142,15363708
2020-02-13,8.98408317565918,9.09752591070055,8.880325163809715,9.04080421334119,14426001
2020-02-14,8.917675971984863,9.032501363682364,8.917675971984863,8.999299150750685,10809404
2020-02-17,9.011751174926758,9.026969270308127,8.937045360649654,8.94534607997792,9752930
2020-02-18,8.93012523651123,8.999297656401117,8.891388998017895,8.927358550812302,14076828
2020-02-19,8.949495315551758,8.9951489379669,8.899691663679436,8.985464876222913,13747870
2020-02-20,8.923209190368652,8.98823159138554,8.895540350230966,8.973013498422798,12321792
2020-02-21,8.829136848449707,8.906610010528524,8.759964405867809,8.878941165431225,20198517
2020-02-24,8.4168701171875,8.57734914074494,8.302044057325775,8.564898392434948,39039271
2020-02-25,8.284058570861816,8.486041171040284,8.284058570861816,8.486041171040284,23808143
2020-02-26,8.344929695129395,8.376748562379882,8.198284785894234,8.250855776666839,25088127
2020-02-27,8.13326358795166,8.25638969589536,7.982467980144096,8.227337512650926,31366113
2020-02-28,7.718230724334717,7.957566237301645,7.644908261067026,7.927130709426618,48764328
2020-03-02,7.690563201904297,7.881478439709868,7.542534906847919,7.864876999956804,34406229
2020-03-03,7.691946506500244,7.893929149897337,7.632458783975162,7.856576240479884,28827682
2020-03-04,7.714078903198242,7.844122362623068,7.613086962094186,7.690560096432147,22591200
2020-03-05,7.586805820465088,7.726533407201742,7.568821035857977,7.726533407201742,20318242
2020-03-06,7.079081058502197,7.470595587566544,7.0486448664901955,7.467828241225343,36615660
2020-03-09,5.6029462814331055,6.086459359458203,5.5476085957622265,5.741290495610302,96242856
2020-03-10,5.647907257080078,6.2490136729367105,5.534465212344982,5.741289838338064,64975229
